"","date","region","country","cases"
"391","2021-01-25","Northern Africa","Algeria",258
"392","2021-01-26","Northern Africa","Algeria",243
"393","2021-01-27","Northern Africa","Algeria",262
"394","2021-01-28","Northern Africa","Algeria",251
"395","2021-01-29","Northern Africa","Algeria",277
"396","2021-01-30","Northern Africa","Algeria",235
"397","2021-01-31","Northern Africa","Algeria",217
"398","2021-02-01","Northern Africa","Algeria",239
"399","2021-02-02","Northern Africa","Algeria",263
"400","2021-02-03","Northern Africa","Algeria",275
"401","2021-02-04","Northern Africa","Algeria",265
"402","2021-02-05","Northern Africa","Algeria",248
"403","2021-02-06","Northern Africa","Algeria",223
"404","2021-02-07","Northern Africa","Algeria",236
"405","2021-02-08","Northern Africa","Algeria",225
"406","2021-02-09","Northern Africa","Algeria",246
"407","2021-02-10","Northern Africa","Algeria",223
"408","2021-02-11","Northern Africa","Algeria",267
"409","2021-02-12","Northern Africa","Algeria",254
"410","2021-02-13","Northern Africa","Algeria",210
"411","2021-02-14","Northern Africa","Algeria",198
"412","2021-02-15","Northern Africa","Algeria",183
"413","2021-02-16","Northern Africa","Algeria",175
"414","2021-02-17","Northern Africa","Algeria",178
"415","2021-02-18","Northern Africa","Algeria",171
"416","2021-02-19","Northern Africa","Algeria",182
"417","2021-02-20","Northern Africa","Algeria",164
"418","2021-02-21","Northern Africa","Algeria",153
"419","2021-02-22","Northern Africa","Algeria",177
"420","2021-02-23","Northern Africa","Algeria",185
"421","2021-02-24","Northern Africa","Algeria",182
"422","2021-02-25","Northern Africa","Algeria",161
"423","2021-02-26","Northern Africa","Algeria",183
"424","2021-02-27","Northern Africa","Algeria",155
"425","2021-02-28","Northern Africa","Algeria",132
"426","2021-03-01","Northern Africa","Algeria",163
"427","2021-03-02","Northern Africa","Algeria",175
"428","2021-03-03","Northern Africa","Algeria",163
"429","2021-03-04","Northern Africa","Algeria",168
"430","2021-03-05","Northern Africa","Algeria",187
"431","2021-03-06","Northern Africa","Algeria",156
"432","2021-03-07","Northern Africa","Algeria",130
"433","2021-03-08","Northern Africa","Algeria",148
"434","2021-03-09","Northern Africa","Algeria",161
"435","2021-03-10","Northern Africa","Algeria",138
"436","2021-03-11","Northern Africa","Algeria",170
"437","2021-03-12","Northern Africa","Algeria",157
"438","2021-03-13","Northern Africa","Algeria",135
"439","2021-03-14","Northern Africa","Algeria",122
"440","2021-03-15","Northern Africa","Algeria",145
"441","2021-03-16","Northern Africa","Algeria",130
"442","2021-03-17","Northern Africa","Algeria",148
"443","2021-03-18","Northern Africa","Algeria",154
"444","2021-03-19","Northern Africa","Algeria",128
"445","2021-03-20","Northern Africa","Algeria",96
"446","2021-03-21","Northern Africa","Algeria",91
"447","2021-03-22","Northern Africa","Algeria",98
"448","2021-03-23","Northern Africa","Algeria",94
"449","2021-03-24","Northern Africa","Algeria",89
"450","2021-03-25","Northern Africa","Algeria",105
"451","2021-03-26","Northern Africa","Algeria",114
"452","2021-03-27","Northern Africa","Algeria",93
"453","2021-03-28","Northern Africa","Algeria",86
"454","2021-03-29","Northern Africa","Algeria",110
"455","2021-03-30","Northern Africa","Algeria",115
"456","2021-03-31","Northern Africa","Algeria",131
"457","2021-04-01","Northern Africa","Algeria",112
"458","2021-04-02","Northern Africa","Algeria",125
"459","2021-04-03","Northern Africa","Algeria",95
"460","2021-04-04","Northern Africa","Algeria",98
"461","2021-04-05","Northern Africa","Algeria",117
"462","2021-04-06","Northern Africa","Algeria",140
"463","2021-04-07","Northern Africa","Algeria",125
"464","2021-04-08","Northern Africa","Algeria",112
"465","2021-04-09","Northern Africa","Algeria",135
"466","2021-04-10","Northern Africa","Algeria",127
"467","2021-04-11","Northern Africa","Algeria",138
"468","2021-04-12","Northern Africa","Algeria",129
"469","2021-04-13","Northern Africa","Algeria",154
"470","2021-04-14","Northern Africa","Algeria",176
"471","2021-04-15","Northern Africa","Algeria",167
"472","2021-04-16","Northern Africa","Algeria",181
"473","2021-04-17","Northern Africa","Algeria",163
"474","2021-04-18","Northern Africa","Algeria",156
"475","2021-04-19","Northern Africa","Algeria",163
"476","2021-04-20","Northern Africa","Algeria",187
"477","2021-04-21","Northern Africa","Algeria",182
"478","2021-04-22","Northern Africa","Algeria",189
"479","2021-04-23","Northern Africa","Algeria",199
"480","2021-04-24","Northern Africa","Algeria",174
"481","2021-04-25","Northern Africa","Algeria",186
"482","2021-04-26","Northern Africa","Algeria",190
"483","2021-04-27","Northern Africa","Algeria",232
"484","2021-04-28","Northern Africa","Algeria",236
"485","2021-04-29","Northern Africa","Algeria",286
"486","2021-04-30","Northern Africa","Algeria",242
"487","2021-05-01","Northern Africa","Algeria",203
"488","2021-05-02","Northern Africa","Algeria",211
"489","2021-05-03","Northern Africa","Algeria",NA
"490","2020-01-01","Northern Africa","Egypt",0
"491","2020-01-02","Northern Africa","Egypt",0
"492","2020-01-03","Northern Africa","Egypt",0
"493","2020-01-04","Northern Africa","Egypt",0
"494","2020-01-05","Northern Africa","Egypt",0
"495","2020-01-06","Northern Africa","Egypt",0
"496","2020-01-07","Northern Africa","Egypt",0
"497","2020-01-08","Northern Africa","Egypt",0
"498","2020-01-09","Northern Africa","Egypt",0
"499","2020-01-10","Northern Africa","Egypt",0
"500","2020-01-11","Northern Africa","Egypt",0
"501","2020-01-12","Northern Africa","Egypt",0
"502","2020-01-13","Northern Africa","Egypt",0
"503","2020-01-14","Northern Africa","Egypt",0
